county,CountyName,id,value
Appling County, Appling County,13001,35.8
Atkinson County, Atkinson County,13003,
Bacon County, Bacon County,13005,55.7
Baker County, Baker County,13007,
Baldwin County, Baldwin County,13009,36.3
Banks County, Banks County,13011,44.7
Barrow County, Barrow County,13013,46.6
Bartow County, Bartow County,13015,22
Ben Hill County, Ben Hill County,13017,62.1
Berrien County, Berrien County,13019,29
Bibb County, Bibb County,13021,20.6
Bleckley County, Bleckley County,13023,
Brantley County, Brantley County,13025,
Brooks County, Brooks County,13027,53.6
Bryan County, Bryan County,13029,30.9
Bulloch County, Bulloch County,13031,64.6
Burke County, Burke County,13033,43.4
Butts County, Butts County,13035,50.9
Calhoun County, Calhoun County,13037,
Camden County, Camden County,13039,18
Candler County, Candler County,13043,71.4
Carroll County, Carroll County,13045,44.8
Catoosa County, Catoosa County,13047,37.6
Charlton County, Charlton County,13049,
Chatham County, Chatham County,13051,23.2
Chattahoochee County, Chattahoochee County,13053,
Chattooga County, Chattooga County,13055,39.9
Cherokee County, Cherokee County,13057,19.5
Clarke County, Clarke County,13059,32.4
Clay County, Clay County,13061,
Clayton County, Clayton County,13063,42.6
Clinch County, Clinch County,13065,
Cobb County, Cobb County,13067,22.7
Coffee County, Coffee County,13069,46.9
Colquitt County, Colquitt County,13071,89.1
Columbia County, Columbia County,13073,24.9
Cook County, Cook County,13075,
Coweta County, Coweta County,13077,31.2
Crawford County, Crawford County,13079,
Crisp County, Crisp County,13081,50.1
Dade County, Dade County,13083,
Dawson County, Dawson County,13085,
Decatur County, Decatur County,13089,31.5
DeKalb County, DeKalb County,13087,57.8
Dodge County, Dodge County,13091,54.3
Dooly County, Dooly County,13093,
Dougherty County, Dougherty County,13095,93.5
Douglas County, Douglas County,13097,34.8
Early County, Early County,13099,62.3
Echols County, Echols County,13101,
Effingham County, Effingham County,13103,34.1
Elbert County, Elbert County,13105,50
Emanuel County, Emanuel County,13107,56
Evans County, Evans County,13109,66.6
Fannin County, Fannin County,13111,28.8
Fayette County, Fayette County,13113,26.4
Floyd County, Floyd County,13115,26.6
Forsyth County, Forsyth County,13117,15.6
Franklin County, Franklin County,13119,44.8
Fulton County, Fulton County,13121,28.7
Gilmer County, Gilmer County,13123,18.6
Glascock County, Glascock County,13125,
Glynn County, Glynn County,13127,25.3
Gordon County, Gordon County,13129,35.9
Grady County, Grady County,13131,43.8
Greene County, Greene County,13133,35.5
Gwinnett County, Gwinnett County,13135,27.7
Habersham County, Habersham County,13137,17.2
Hall County, Hall County,13139,26.6
Hancock County, Hancock County,13141,
Haralson County, Haralson County,13143,19.5
Harris County, Harris County,13145,31.4
Hart County, Hart County,13147,34.6
Heard County, Heard County,13149,
Henry County, Henry County,13151,30.5
Houston County, Houston County,13153,37.3
Irwin County, Irwin County,13155,51.7
Jackson County, Jackson County,13157,23.3
Jasper County, Jasper County,13159,
Jeff Davis County, Jeff Davis County,13161,
Jefferson County, Jefferson County,13163,62.7
Jenkins County, Jenkins County,13165,66.1
Johnson County, Johnson County,13167,
Jones County, Jones County,13169,24.6
Lamar County, Lamar County,13171,77.9
Lanier County, Lanier County,13173,
Laurens County, Laurens County,13175,31.5
Lee County, Lee County,13177,36.1
Liberty County, Liberty County,13179,48
Lincoln County, Lincoln County,13181,
Long County, Long County,13183,
Lowndes County, Lowndes County,13185,40.6
Lumpkin County, Lumpkin County,13187,22
Macon County, Macon County,13193,71.9
Madison County, Madison County,13195,35.8
Marion County, Marion County,13197,
McDuffie County, McDuffie County,13189,75.2
McIntosh County, McIntosh County,13191,
Meriwether County, Meriwether County,13199,38.8
Miller County, Miller County,13201,
Mitchell County, Mitchell County,13205,31.5
Monroe County, Monroe County,13207,23.6
Montgomery County, Montgomery County,13209,
Morgan County, Morgan County,13211,28.7
Murray County, Murray County,13213,41.6
Muscogee County, Muscogee County,13215,65.6
Newton County, Newton County,13217,44.6
Oconee County, Oconee County,13219,
Oglethorpe County, Oglethorpe County,13221,
Paulding County, Paulding County,13223,19.6
Peach County, Peach County,13225,58.7
Pickens County, Pickens County,13227,22
Pierce County, Pierce County,13229,68.2
Pike County, Pike County,13231,36.3
Polk County, Polk County,13233,23.1
Pulaski County, Pulaski County,13235,
Putnam County, Putnam County,13237,20.1
Quitman County, Quitman County,13239,
Rabun County, Rabun County,13241,33.2
Randolph County, Randolph County,13243,52.8
Richmond County, Richmond County,13245,52.5
Rockdale County, Rockdale County,13247,40.5
Schley County, Schley County,13249,
Screven County, Screven County,13251,46.1
Seminole County, Seminole County,13253,115.3
Spalding County, Spalding County,13255,53.1
Stephens County, Stephens County,13257,31.8
Stewart County, Stewart County,13259,
Sumter County, Sumter County,13261,48.7
Talbot County, Talbot County,13263,
Taliaferro County, Taliaferro County,13265,
Tattnall County, Tattnall County,13267,30.4
Taylor County, Taylor County,13269,97
Telfair County, Telfair County,13271,34.2
Terrell County, Terrell County,13273,138.1
Thomas County, Thomas County,13275,42.1
Tift County, Tift County,13277,60.1
Toombs County, Toombs County,13279,32.6
Towns County, Towns County,13281,
Treutlen County, Treutlen County,13283,84.6
Troup County, Troup County,13285,47.1
Turner County, Turner County,13287,
Twiggs County, Twiggs County,13289,
Union County, Union County,13291,21.9
Upson County, Upson County,13293,33.7
Walker County, Walker County,13295,32.2
Walton County, Walton County,13297,32.1
Ware County, Ware County,13299,44.8
Warren County, Warren County,13301,
Washington County, Washington County,13303,29
Wayne County, Wayne County,13305,34.6
Webster County, Webster County,13307,
Wheeler County, Wheeler County,13309,
White County, White County,13311,27.2
Whitfield County, Whitfield County,13313,35.3
Wilcox County, Wilcox County,13315,
Wilkes County, Wilkes County,13317,52.5
Wilkinson County, Wilkinson County,13319,
Worth County, Worth County,13321,67
,,unit,%-.1f
